"eventtype","ts","eventid","requestid","receivedat","metadata_json","validation_json","payload_json","ingestedat","year","month","day","type"
"users.user.created","2025-10-15T22:38:45.880000Z","b11f827b-cc4a-4d81-8928-9a5792ac060b","9da06f1b-ee7b-4b25-ba09-df7eea32b520","2025-10-15T22:38:45.946579Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 66, ""eventSizeBytes"": 196, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T22:38:47.039099Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [], ""originalS3Key"": ""year=2025/month=10/day=15/type=users.user.created/b11f827b-cc4a-4d81-8928-9a5792ac060b.json""}","{""userId"": ""user-860"", ""nationalityOrOrigin"": ""AR"", ""roles"": [""traveler"", ""newsletter""], ""createdAt"": ""2025-10-15T22:38:45.880000Z""}","2025-10-15T22:38:47.039156Z","2025","10","15","users.user.created"
"payments.payment.status_updated","2025-01-15T17:18:00Z","6ab0f2d1-6054-4abc-934b-07806ab23be8","5b99a8ca-7385-4ba0-a7e9-5b5df3d36167","2025-10-15T23:59:35.478783Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23611295478, ""eventSizeBytes"": 239, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:36.495771Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=payments.payment.status_updated/6ab0f2d1-6054-4abc-934b-07806ab23be8.json""}","{""paymentId"": ""PAY-8004"", ""reservationId"": ""RSV-5004"", ""userId"": ""u-1150"", ""status"": ""PAID"", ""amount"": 1120, ""currency"": ""USD"", ""updatedAt"": ""2025-01-15T17:18:00Z""}","2025-10-15T23:59:36.495829Z","2025","10","15","payments.payment.status_updated"
"users.user.created","2025-01-15T09:55:00Z","8cc95fa7-fab8-4a22-9645-d15afc7e682a","321d866d-b238-4477-9c26-3ee0f44c546f","2025-10-15T23:58:03.872343Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23637783872, ""eventSizeBytes"": 183, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:58:04.913313Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=users.user.created/8cc95fa7-fab8-4a22-9645-d15afc7e682a.json""}","{""userId"": ""user-1001"", ""nationalityOrOrigin"": ""AR"", ""roles"": [""traveler"", ""loyalty""], ""createdAt"": ""2025-01-15T09:55:00Z""}","2025-10-15T23:58:04.913372Z","2025","10","15","users.user.created"
"flights.flight.created","2025-03-05T08:45:00Z","9c64bd4a-d7c4-496c-80f2-1f85f099fe58","5bcfb4c6-ac41-4cf8-a042-3e1282f4a955","2025-10-15T23:58:23.715098Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 19408403715, ""eventSizeBytes"": 304, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:58:24.335747Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=flights.flight.created/9c64bd4a-d7c4-496c-80f2-1f85f099fe58.json""}","{""flightId"": ""LA621"", ""flightNumber"": ""LA621"", ""origin"": ""AEP"", ""destination"": ""SCL"", ""aircraftModel"": ""A320"", ""departureAt"": ""2025-03-05T08:45:00Z"", ""arrivalAt"": ""2025-03-05T11:30:00Z"", ""status"": ""En hora"", ""price"": 420, ""currency"": ""USD""}","2025-10-15T23:58:24.335807Z","2025","10","15","flights.flight.created"
"reservations.reservation.updated","2025-01-16T16:45:00Z","7ff51948-01e4-49c4-9908-1f433e9b080e","3b3d94e9-2052-491c-8523-63811406a7ee","2025-10-15T23:59:59.458385Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23526899458, ""eventSizeBytes"": 212, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-16T00:00:00.670543Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=reservations.reservation.updated/7ff51948-01e4-49c4-9908-1f433e9b080e.json""}","{""reservationId"": ""RSV-5014"", ""newStatus"": ""SEAT_CHANGE"", ""reservationDate"": ""2025-01-16T16:45:00Z"", ""flightDate"": ""2025-03-22T11:05:00Z""}","2025-10-16T00:00:00.670603Z","2025","10","15","reservations.reservation.updated"
"payments.payment.status_updated","2025-01-15T19:38:00Z","f816b959-afc5-4998-9b73-a395960aa751","18367c7d-66ee-44b0-b53b-9e60e71b9a63","2025-10-15T23:59:38.071724Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23602898071, ""eventSizeBytes"": 238, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:39.212129Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=payments.payment.status_updated/f816b959-afc5-4998-9b73-a395960aa751.json""}","{""paymentId"": ""PAY-8014"", ""reservationId"": ""RSV-5014"", ""userId"": ""u-1488"", ""status"": ""PAID"", ""amount"": 435, ""currency"": ""USD"", ""updatedAt"": ""2025-01-15T19:38:00Z""}","2025-10-15T23:59:39.212201Z","2025","10","15","payments.payment.status_updated"
"search_metric","2025-01-15T13:22:00Z","aca4c1ad-8d3b-4f83-a284-4ffc1fbe9df4","b7f7a00c-fd3a-4cd7-8061-908a61fa4611","2025-10-15T23:57:13.477043Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23625313477, ""eventSizeBytes"": 224, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:57:14.425741Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Unexpected field for search_metric: timestamp"", ""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=search_metric/aca4c1ad-8d3b-4f83-a284-4ffc1fbe9df4.json""}","{""flightsFrom"": ""EZE"", ""flightsTo"": ""LIM"", ""dateFrom"": ""2025-05-19"", ""dateTo"": ""2025-05-28"", ""resultsCount"": 22, ""timestamp"": ""2025-01-15T13:22:00Z"", ""userId"": ""u-1320""}","2025-10-15T23:57:14.425805Z","2025","10","15","search_metric"
"reservations.reservation.updated","2025-01-16T13:45:00Z","bf504f04-235f-45ce-8c64-b4b25e67c861","924284b5-86ee-4ad9-9e01-24c7fc7784e2","2025-10-15T23:59:58.774811Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23537698774, ""eventSizeBytes"": 210, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:59.753472Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=reservations.reservation.updated/bf504f04-235f-45ce-8c64-b4b25e67c861.json""}","{""reservationId"": ""RSV-5010"", ""newStatus"": ""CONFIRMED"", ""reservationDate"": ""2025-01-16T13:45:00Z"", ""flightDate"": ""2025-06-12T06:10:00Z""}","2025-10-15T23:59:59.753530Z","2025","10","15","reservations.reservation.updated"
"reservations.reservation.updated","2025-01-15T17:15:00Z","326ab202-3081-4118-9351-0c002c33ab02","81857382-92b8-4e83-b581-f194dc7c85de","2025-10-15T23:59:58.079285Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23611498079, ""eventSizeBytes"": 210, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:59.176874Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=reservations.reservation.updated/326ab202-3081-4118-9351-0c002c33ab02.json""}","{""reservationId"": ""RSV-5002"", ""newStatus"": ""CANCELLED"", ""reservationDate"": ""2025-01-15T17:15:00Z"", ""flightDate"": ""2025-03-05T08:45:00Z""}","2025-10-15T23:59:59.176932Z","2025","10","15","reservations.reservation.updated"
"reservations.reservation.created","2025-01-15T17:38:21Z","e5b59fd4-ec8e-4799-819f-d1987cc4ee0d","3a449e22-8725-4b1a-9f7d-67c85af0f1ed","2025-10-15T23:59:10.948276Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23610049948, ""eventSizeBytes"": 216, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:11.952955Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=reservations.reservation.created/e5b59fd4-ec8e-4799-819f-d1987cc4ee0d.json""}","{""reservationId"": ""RSV-5018"", ""userId"": ""u-1515"", ""flightId"": ""UX042"", ""amount"": 950, ""currency"": ""USD"", ""reservedAt"": ""2025-01-15T17:38:21Z""}","2025-10-15T23:59:11.953014Z","2025","10","15","reservations.reservation.created"
