flightId,flightNumber,origin,destination,aircraftModel,departureAt,arrivalAt,status,price,currency
AR1302,AR1302,EZE,MIA,B737,2025-02-18T12:30:00Z,2025-02-18T20:05:00Z,En hora,750.50,USD
LA621,LA621,AEP,SCL,A320,2025-03-05T08:45:00Z,2025-03-05T11:30:00Z,En hora,420.00,USD
FO501,FO501,EZE,MDZ,EMB190,2025-02-01T07:15:00Z,2025-02-01T08:40:00Z,En hora,189.90,ARS
AR2846,AR2846,ROS,BRC,B737,2025-07-10T06:20:00Z,2025-07-10T09:05:00Z,En hora,1120.30,USD
G31021,G31021,MDZ,GRU,A321,2025-04-14T15:00:00Z,2025-04-14T19:20:00Z,En hora,365.75,USD
AR1710,AR1710,COR,EZE,EMB190,2025-01-28T10:25:00Z,2025-01-28T11:45:00Z,En hora,98.40,USD
IB6845,IB6845,EZE,MAD,A350,2025-05-01T22:30:00Z,2025-05-02T12:10:00Z,En hora,1320.00,USD
AZ681,AZ681,EZE,FCO,A330,2025-04-01T20:15:00Z,2025-04-02T11:00:00Z,En hora,1180.00,USD
AR1360,AR1360,EZE,USH,B737,2025-03-12T05:50:00Z,2025-03-12T08:20:00Z,En hora,255.40,USD
UX042,UX042,EZE,MAD,787,2025-05-03T23:55:00Z,2025-05-04T14:30:00Z,En hora,1099.00,USD
