reservationId,userId,flightId,amount,currency,reservedAt
RSV-5001,u-1001,AR1302,750.50,USD,2025-01-15T10:52:00Z
RSV-5002,u-1044,LA621,420.00,USD,2025-01-15T11:06:18Z
RSV-5003,u-1112,FO501,189.90,ARS,2025-01-15T11:28:44Z
RSV-5004,u-1150,AR2846,1120.30,USD,2025-01-15T11:59:12Z
RSV-5005,u-1203,G31021,365.75,USD,2025-01-15T12:20:05Z
RSV-5006,u-1225,AR1710,98.40,USD,2025-01-15T12:48:29Z
RSV-5007,u-1288,JJ8003,654.10,USD,2025-01-15T13:09:36Z
RSV-5008,u-1320,AR1302,780.00,USD,2025-01-15T13:42:11Z
RSV-5009,u-1399,UY232,210.50,USD,2025-01-15T14:11:56Z
RSV-5010,u-1405,CM451,540.20,USD,2025-01-15T14:29:44Z
RSV-5011,u-1418,AR1360,455.60,USD,2025-01-15T14:55:03Z
RSV-5012,u-1444,UX042,899.99,USD,2025-01-15T15:12:27Z
RSV-5013,u-1455,UY120,320.00,USD,2025-01-15T15:47:10Z
RSV-5014,u-1488,LA622,435.30,USD,2025-01-15T16:05:48Z
RSV-5015,u-1490,AR2846,1185.00,USD,2025-01-15T16:23:11Z
RSV-5016,u-1495,AR1378,215.90,USD,2025-01-15T16:44:30Z
RSV-5017,u-1502,AR1780,155.20,USD,2025-01-15T17:10:05Z
RSV-5018,u-1515,UX042,950.00,USD,2025-01-15T17:38:21Z
