reservationId,newStatus,reservationDate,flightDate
RSV-5001,CONFIRMED,2025-01-15T16:05:00Z,2025-02-18T12:30:00Z
RSV-5002,CANCELLED,2025-01-15T17:15:00Z,2025-03-05T08:45:00Z
RSV-5005,CHANGED,2025-01-16T09:20:00Z,2025-04-14T15:00:00Z
RSV-5008,UPGRADED,2025-01-16T11:35:00Z,2025-02-20T12:30:00Z
RSV-5010,CONFIRMED,2025-01-16T13:45:00Z,2025-06-12T06:10:00Z
RSV-5012,CANCELLED,2025-01-16T15:22:00Z,2025-05-03T09:55:00Z
RSV-5013,CONFIRMED,2025-01-16T16:08:00Z,2025-02-05T09:15:00Z
RSV-5014,SEAT_CHANGE,2025-01-16T16:45:00Z,2025-03-22T11:05:00Z
RSV-5016,CANCELLED,2025-01-16T17:12:00Z,2025-06-03T14:20:00Z
RSV-5018,CONFIRMED,2025-01-16T18:05:00Z,2025-05-05T07:50:00Z
