userId,flightId,addedAt
u-1001,AR1302,2025-01-15T10:45:03Z
u-1044,LA621,2025-01-15T11:00:12Z
u-1112,FO501,2025-01-15T11:23:45Z
u-1150,AR2846,2025-01-15T11:58:09Z
u-1203,G31021,2025-01-15T12:16:27Z
u-1225,AR1710,2025-01-15T13:02:41Z
u-1288,JJ8003,2025-01-15T13:19:54Z
u-1320,AR1302,2025-01-15T13:47:33Z
u-1399,UY232,2025-01-15T14:10:05Z
u-1405,CM451,2025-01-15T14:28:47Z
u-1420,IB6845,2025-01-15T15:03:18Z
u-1421,AZ681,2025-01-15T15:26:44Z
u-1455,UY120,2025-01-15T15:51:09Z
u-1488,LA622,2025-01-15T16:14:32Z
u-1515,UX042,2025-01-15T17:38:51Z
