flightsFrom,flightsTo,dateFrom,dateTo,resultsCount,timestamp,userId
EZE,MIA,2025-02-18,2025-02-28,42,2025-01-15T09:45:00Z,u-1001
AEP,SCL,2025-03-05,2025-03-12,35,2025-01-15T10:30:00Z,u-1044
EZE,MDZ,2025-02-01,,18,2025-01-15T11:18:00Z,u-1112
ROS,BRC,2025-07-10,2025-07-20,27,2025-01-15T11:58:00Z,u-1150
MDZ,GRU,2025-04-14,2025-04-21,31,2025-01-15T12:40:00Z,u-1203
EZE,LIM,2025-05-19,2025-05-28,22,2025-01-15T13:22:00Z,u-1320
AEP,MVD,2025-01-25,,14,2025-01-15T13:55:00Z,u-1399
CBA,SCL,2025-03-10,2025-03-18,19,2025-01-15T14:21:00Z,u-1405
EZE,CDG,2025-09-04,2025-09-20,55,2025-01-15T15:04:00Z,u-1420
EZE,FCO,2025-04-01,2025-04-15,48,2025-01-15T15:28:00Z,u-1421
MDZ,SLA,2025-02-18,,12,2025-01-15T15:56:00Z,u-1455
EZE,BOG,2025-03-18,2025-03-26,25,2025-01-15T16:37:00Z,u-1510
