searchId,userId,origin,destination,departDate,returnDate,paxCount,category,performedAt
SCH-20250115-001,u-1001,EZE,MIA,2025-02-18,2025-02-28,2,economy,2025-01-15T10:12:43Z
SCH-20250115-002,u-1044,AEP,SCL,2025-03-05,2025-03-12,1,business,2025-01-15T10:35:18Z
SCH-20250115-003,u-1112,EZE,MDZ,2025-02-01,,3,economy,2025-01-15T11:02:51Z
SCH-20250115-004,u-1150,ROS,BRC,2025-07-10,2025-07-20,4,family,2025-01-15T11:45:07Z
SCH-20250115-005,u-1203,MDZ,GRU,2025-04-14,2025-04-21,2,economy,2025-01-15T12:08:29Z
SCH-20250115-006,u-1225,COR,EZE,2025-01-28,,1,budget,2025-01-15T12:37:55Z
SCH-20250115-007,u-1288,SLA,RGL,2025-08-02,2025-08-15,2,tourism,2025-01-15T13:05:11Z
SCH-20250115-008,u-1320,EZE,LIM,2025-05-19,2025-05-28,2,premium,2025-01-15T13:32:44Z
SCH-20250115-009,u-1399,AEP,MVD,2025-01-25,,1,economy,2025-01-15T14:05:02Z
SCH-20250115-010,u-1405,COR,SCL,2025-06-12,2025-06-22,3,economy,2025-01-15T14:37:48Z
SCH-20250115-011,u-1420,EZE,CDG,2025-09-04,2025-09-20,2,business,2025-01-15T15:01:22Z
SCH-20250115-012,u-1421,EZE,FCO,2025-04-01,2025-04-15,2,luxury,2025-01-15T15:18:47Z
SCH-20250115-013,u-1455,AEP,PDP,2025-02-05,,4,family,2025-01-15T15:45:33Z
SCH-20250115-014,u-1488,MDZ,SCL,2025-03-22,2025-03-27,1,corporate,2025-01-15T16:05:11Z
SCH-20250115-015,u-1490,EZE,BRC,2025-07-18,2025-07-25,3,holiday,2025-01-15T16:24:19Z
SCH-20250115-016,u-1495,EZE,USH,2025-06-03,2025-06-09,2,tourism,2025-01-15T16:41:58Z
SCH-20250115-017,u-1502,AEP,IGR,2025-02-12,,2,honeymoon,2025-01-15T17:03:44Z
SCH-20250115-018,u-1510,EZE,BOG,2025-03-18,2025-03-26,1,business,2025-01-15T17:22:31Z
SCH-20250115-019,u-1515,EZE,MAD,2025-05-01,2025-05-15,2,premium,2025-01-15T17:49:12Z
SCH-20250115-020,u-1522,EZE,PUJ,2025-04-20,2025-04-30,4,all-inclusive,2025-01-15T18:05:59Z
